date,rain_mm_daily
2015-01-14,9.388216
2015-01-15,9.193302
2015-01-16,0.80889094
2015-01-17,0.9708954
2015-01-18,0.91063416
2015-01-19,0.016650185
2015-01-20,0.020045787
2015-01-21,0.48767406
2015-01-22,0.040480867
2015-01-23,6.248961
2015-01-24,0.48480555
2015-01-25,3.0670402
2015-01-26,2.1375325
2015-01-27,2.080176
2015-01-28,9.765795
2015-01-29,0.73127633
2015-01-30,0.31217003
2015-01-31,0.10909885
2015-02-01,0.03928505
2015-02-02,0.0
2015-02-03,0.033007935
2015-02-04,0.002488494
2015-02-05,0.019218773
2015-02-06,0.016570091
2015-02-07,0.001013279
2015-02-08,0.0043902546
2015-02-09,0.0059977174
2015-02-10,0.034479424
2015-02-11,0.34962967
2015-02-12,0.20672753
2015-02-13,1.7755738
2015-02-14,0.016009435
2015-02-15,0.07762015
2015-02-16,9.081056
2015-02-17,0.070914626
2015-02-18,0.483349
2015-02-19,5.551051
2015-02-20,1.3151654
2015-02-21,0.3456287
2015-02-22,10.481428
2015-02-23,5.939431
2015-02-24,2.8609262
2015-02-25,1.7372408
2015-02-26,13.347197
2015-02-27,0.8988399
2015-02-28,0.542555
2015-03-01,3.6489685
2015-03-02,1.5759673
2015-03-03,2.2158566
2015-03-04,1.0141488
2015-03-05,0.37813932
2015-03-06,0.8746423
2015-03-07,5.380555
2015-03-08,5.7958117
2015-03-09,3.4233203
2015-03-10,0.018775463
2015-03-11,4.9505715
2015-03-12,16.68129
2015-03-13,5.3270926
2015-03-14,0.09641424
2015-03-15,0.022580847
2015-03-16,0.84005857
2015-03-17,0.78684837
2015-03-18,0.0038798898
2015-03-19,0.0749724
2015-03-20,0.11991151
2015-03-21,0.0060386956
2015-03-22,0.0015199184
2015-03-23,0.48343092
2015-03-24,1.6621351
2015-03-25,0.093799084
2015-03-26,8.0327015
2015-03-27,0.38098168
2015-03-28,10.889664
2015-03-29,7.5518646
2015-03-30,10.593378
2015-03-31,0.76436067
date,rain_mm_daily
2014-01-01,9.925667
2014-01-02,3.5007725
2014-01-03,4.768255
2014-01-04,2.060771
2014-01-05,10.562803
2014-01-06,7.4185247
2014-01-07,3.8863478
2014-01-08,0.99944323
2014-01-09,1.3710409
2014-01-10,3.7222524
2014-01-11,0.13464689
2014-01-12,4.685901
2014-01-13,6.734256
2014-01-14,4.245389
2014-01-15,5.807769
2014-01-16,0.6918013
2014-01-17,3.0316153
2014-01-18,4.5043173
2014-01-19,5.21848
2014-01-20,0.31713212
2014-01-21,6.6698236
2014-01-22,3.0505695
2014-01-23,4.8191824
2014-01-24,3.0493717
2014-01-25,7.7725463
2014-01-26,11.053476
2014-01-27,7.240344
2014-01-28,3.1760912
2014-01-29,0.68028086
2014-01-30,0.045245513
2014-01-31,0.0
2014-02-01,13.750855
2014-02-02,1.7930567
2014-02-03,0.010065734
2014-02-04,3.379017
2014-02-05,6.3731575
2014-02-06,1.5508142
2014-02-07,1.4610701
2014-02-08,14.251572
2014-02-09,3.7944355
2014-02-10,0.10676682
2014-02-11,3.2462628
2014-02-12,13.9913025
2014-02-13,6.0941296
2014-02-14,9.437371
2014-02-15,13.048451
2014-02-16,0.73707855
2014-02-17,2.7533584
2014-02-18,8.03606
2014-02-19,2.750987
2014-02-20,5.501857
2014-02-21,6.0914707
2014-02-22,4.620473
2014-02-23,12.878738
2014-02-24,20.004261
2014-02-25,3.7089605
2014-02-26,5.605493
2014-02-27,9.594016
2014-02-28,0.015962869
2014-03-01,3.4521222
2014-03-02,13.544409
2014-03-03,0.5258061
2014-03-04,0.8030795
2014-03-05,0.5784743
2014-03-06,6.9252253
2014-03-07,17.180626
2014-03-08,0.45157224
2014-03-09,0.7856581
2014-03-10,1.3022945
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.11828728
2014-03-14,0.89518917
2014-03-15,0.2617035
2014-03-16,0.5469266
2014-03-17,0.784697
2014-03-18,6.818868
2014-03-19,0.19396934
2014-03-20,13.426147
2014-03-21,7.852493
2014-03-22,2.3297296
2014-03-23,0.07878058
2014-03-24,0.03129244
2014-03-25,2.5748072
2014-03-26,0.5369764
2014-03-27,2.3684149
2014-03-28,5.622385
2014-03-29,0.23325719
2014-03-30,0.030074269
2014-03-31,0.004744157
2014-04-01,10.788925
2014-04-02,0.10646507
2014-04-03,3.2278879
2014-04-04,3.7355256
2014-04-05,3.086131
2014-04-06,3.6345253
2014-04-07,8.408789
2014-04-08,1.9449944
2014-04-09,2.0712557
2014-04-10,1.3321005
2014-04-11,0.24124607
2014-04-12,0.4693847
2014-04-13,2.2229812
2014-04-14,0.0005643815
2014-04-15,0.0
2014-04-16,0.11205487
2014-04-17,1.0383203
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0004665926
2014-04-21,0.014916062
2014-04-22,2.660727
2014-04-23,2.427727
2014-04-24,2.3123343
2014-04-25,7.0967364
2014-04-26,2.4047177
2014-04-27,2.5599785
2014-04-28,2.4460144
2014-04-29,0.6101839
2014-04-30,0.0
2014-05-01,4.439976
2014-05-02,0.0052955
2014-05-03,0.066513196
2014-05-04,1.7601976
2014-05-05,1.3655851
2014-05-06,3.328858
2014-05-07,10.261772
2014-05-08,2.2537298
2014-05-09,5.1930494
2014-05-10,13.520323
2014-05-11,10.430667
2014-05-12,10.86184
2014-05-13,1.1944212
2014-05-14,0.014338642
2014-05-15,0.95365566
2014-05-16,0.049076974
2014-05-17,0.0022351742
2014-05-18,0.14505908
2014-05-19,1.8390436
2014-05-20,1.7089844
2014-05-21,0.284411
2014-05-22,3.8108938
2014-05-23,1.980828
2014-05-24,3.57225
2014-05-25,9.447457
2014-05-26,1.5099198
2014-05-27,0.26598573
2014-05-28,8.0643635
2014-05-29,0.5152598
2014-05-30,0.0155661255
2014-05-31,-1.8626451e-06
2014-06-01,2.2150054
2014-06-02,3.3588018
2014-06-03,2.1177363
2014-06-04,12.677459
2014-06-05,3.2572708
2014-06-06,0.0018775463
2014-06-07,12.075028
2014-06-08,2.445087
2014-06-09,7.759098
2014-06-10,7.931877
2014-06-11,1.1085905
2014-06-12,0.18750876
2014-06-13,1.4516674
2014-06-14,1.0997727
2014-06-15,0.61840194
2014-06-16,0.052401796
2014-06-17,0.23025833
2014-06-18,0.057963654
2014-06-19,0.9447523
2014-06-20,0.13219751
2014-06-21,0.21465309
2014-06-22,0.30627286
2014-06-23,0.49306822
2014-06-24,1.1840072
2014-06-25,1.6422142
2014-06-26,0.1923386
2014-06-27,0.11299364
2014-06-28,0.33204818
2014-06-29,0.36107564
2014-06-30,-1.8626451e-06
2014-07-01,0.64215064
2014-07-02,0.4960187
2014-07-03,0.5820822
2014-07-04,9.512215
2014-07-05,4.895415
2014-07-06,0.9833072
2014-07-07,0.92640334
2014-07-08,5.974017
2014-07-09,0.0019185245
2014-07-10,0.0
2014-07-11,0.0005606562
2014-07-12,4.447801
2014-07-13,2.8683562
2014-07-14,2.2170467
2014-07-15,0.19591674
2014-07-16,4.716668
2014-07-17,0.46433884
2014-07-18,2.5589726
2014-07-19,17.54164
2014-07-20,0.5125776
2014-07-21,0.0479836
2014-07-22,-4.4703484e-05
2014-07-23,0.0067781657
2014-07-24,0.023858622
2014-07-25,0.003280118
2014-07-26,3.940628
2014-07-27,6.3925276
2014-07-28,0.027168542
2014-07-29,0.06869063
2014-07-30,1.2487136
2014-07-31,0.0
2014-08-01,8.208192
2014-08-02,12.061668
2014-08-03,6.185744
2014-08-04,0.19461289
2014-08-05,1.6840695
2014-08-06,9.845085
2014-08-07,0.26879087
2014-08-08,9.96813
2014-08-09,0.7582791
2014-08-10,24.346249
2014-08-11,3.2956545
2014-08-12,5.720725
2014-08-13,4.075738
2014-08-14,10.833279
2014-08-15,1.3077893
2014-08-16,1.9979421
2014-08-17,4.8833637
2014-08-18,0.69898367
2014-08-19,0.50186735
2014-08-20,0.25966203
2014-08-21,8.822069
2014-08-22,0.48468634
2014-08-23,2.260344
2014-08-24,0.00095926225
2014-08-25,0.0048466027
2014-08-26,0.0031515956
2014-08-27,0.3406536
2014-08-28,3.5090559
2014-08-29,7.6114016
2014-08-30,0.44775197
2014-08-31,0.0
2014-09-01,1.1347774
2014-09-02,-4.4703484e-05
2014-09-03,0.16368926
2014-09-04,0.7235669
2014-09-05,2.7949848
2014-09-06,1.2845323
2014-09-07,0.0005364418
2014-09-08,0.0008121133
2014-09-09,0.0008996576
2014-09-10,0.0010542572
2014-09-11,0.21777488
2014-09-12,0.14422369
2014-09-13,0.11606142
2014-09-14,0.14893897
2014-09-15,0.24737604
2014-09-16,0.083792955
2014-09-17,0.25519544
2014-09-18,0.27844495
2014-09-19,0.24274737
2014-09-20,0.11919066
2014-09-21,0.0
2014-09-22,0.059006736
2014-09-23,2.3068042
2014-09-24,0.8128267
2014-09-25,0.67306125
2014-09-26,0.70978326
2014-09-27,0.26584977
2014-09-28,0.37626177
2014-09-29,0.2130391
2014-09-30,0.008558854
2014-10-01,0.8499325
2014-10-02,-4.4703484e-05
2014-10-03,11.70544
2014-10-04,24.972675
2014-10-05,0.5649403
2014-10-06,17.663872
2014-10-07,0.5049603
2014-10-08,8.050088
2014-10-09,3.5660267
2014-10-10,3.5772195
2014-10-11,0.42798555
2014-10-12,0.0014547259
2014-10-13,0.008543953
2014-10-14,0.0
2014-10-15,1.8733516
2014-10-16,3.1616054
2014-10-17,6.0937643
2014-10-18,11.914034
2014-10-19,7.262232
2014-10-20,3.1438787
2014-10-21,10.736002
2014-10-22,1.356842
2014-10-23,1.6146004
2014-10-24,1.0887702
2014-10-25,1.3936601
2014-10-26,4.7856274
2014-10-27,3.4913774
2014-10-28,17.892223
2014-10-29,0.008514151
2014-10-30,2.380898
2014-10-31,0.07056631
2014-11-01,15.609857
2014-11-02,4.1184573
2014-11-03,7.503254
2014-11-04,2.3127663
2014-11-05,0.065971166
2014-11-06,5.3893867
2014-11-07,6.765064
2014-11-08,6.380081
2014-11-09,0.45446676
2014-11-10,0.10126084
2014-11-11,4.9476233
2014-11-12,4.6103783
2014-11-13,0.9910408
2014-11-14,7.967661
2014-11-15,0.015327707
2014-11-16,0.8461923
2014-11-17,2.049271
2014-11-18,0.003963709
2014-11-19,0.0749547
2014-11-20,0.15210547
2014-11-21,6.046751
2014-11-22,4.7197604
2014-11-23,0.1034867
2014-11-24,0.010022894
2014-11-25,0.021679327
2014-11-26,1.2853444
2014-11-27,1.188349
2014-11-28,0.040899962
2014-11-29,0.21178834
